VAR_ID,CandleTime,RSIIndicator,RSILowerLimit,EntryPoint,ProfitCut,ReleaseCount
0,0,0,0,0,0,0
1,1,14,30,0,0.4,10
2,1,14,30,0,0.4,15
3,1,14,30,0,0.4,20
4,1,14,30,0,0.5,10
5,1,14,30,0,0.5,15
6,1,14,30,0,0.5,20
7,1,14,30,0,0.6,10
8,1,14,30,0,0.6,15
9,1,14,30,0,0.6,20
10,1,14,30,0,0.7,10
11,1,14,30,0,0.7,15
12,1,14,30,0,0.7,20
13,1,14,30,0,0.8,10
14,1,14,30,0,0.8,15
15,1,14,30,0,0.8,20
16,1,14,30,0,0.9,10
17,1,14,30,0,0.9,15
18,1,14,30,0,0.9,20
19,1,14,30,0,1,10
20,1,14,30,0,1,15
21,1,14,30,0,1,20
22,1,14,35,0,0.4,10
23,1,14,35,0,0.4,15
24,1,14,35,0,0.4,20
25,1,14,35,0,0.5,10
26,1,14,35,0,0.5,15
27,1,14,35,0,0.5,20
28,1,14,35,0,0.6,10
29,1,14,35,0,0.6,15
30,1,14,35,0,0.6,20
31,1,14,35,0,0.7,10
32,1,14,35,0,0.7,15
33,1,14,35,0,0.7,20
34,1,14,35,0,0.8,10
35,1,14,35,0,0.8,15
36,1,14,35,0,0.8,20
37,1,14,35,0,0.9,10
38,1,14,35,0,0.9,15
39,1,14,35,0,0.9,20
40,1,14,35,0,1,10
41,1,14,35,0,1,15
42,1,14,35,0,1,20
